name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"VRBNO POD PRADEDEM",VRBNOM,CZ,5007.033N,01722.750E,0.0m,1,,,,"KOSTEL"
"VSETIN",VSETIN,CZ,4920.017N,01759.217E,0.0m,1,,,,"KRIZOVATKAJIH"
"VYROVICE",VYRVCE,CZ,4855.767N,01606.567E,296.0m,12,,,,"VODNI NADRZ"
"VYSKYTNA",VYSKYA,CZ,4925.717N,01521.850E,650.0m,1,,,,"KOSTEL"
"VYSSI BROD",VYSIRD,CZ,4837.250N,01418.567E,600.0m,1,,,,"KOSTEL"
"ZABREH",ZABREH,CZ,4952.333N,01653.183E,388.0m,1,,,,"CENTRUM"
"ZAHORI",ZAHORI,CZ,4928.033N,01740.083E,317.0m,2,6,450.0m,"119,750","SLZ PLOCHA"
"ZALY",ZALY,CZ,5039.467N,01534.350E,1018.0m,7,,,,"ROZHLEDNA"
"ZATEC",ZATEC,CZ,5020.150N,01332.550E,0.0m,1,,,,"MOST"
"ZDAKOV",ZDAKOV,CZ,4930.250N,01411.000E,0.0m,1,,,,"ZDAKOVSKYMOST"
"ZDANIC",ZDANICE,CZ,4904.067N,01701.783E,0.0m,1,,,,"KOSTEL"
"ZDAR N SAZAVOU",ZDARSA,CZ,4933.967N,01556.383E,0.0m,1,,,,"CENTRUM"
"ZDAREC",ZDAREC,CZ,4922.617N,01615.950E,0.0m,1,,,,"STRED OBCE"
"ZEBRAK",ZEBRAK,CZ,4952.183N,01353.717E,386.0m,1,,,,"D5 EXIT"
"ZEHUN",ZEHUN,CZ,5008.133N,01517.450E,0.0m,1,,,,"KOSTEL"
"ZELETAVA",ZELETA,CZ,4908.600N,01540.417E,0.0m,1,,,,"KOSTEL"
"ZELEZNA RUDA",ZELRUD,CZ,4908.317N,01313.883E,0.0m,1,,,,"OBEC"
"ZELIV",ZELIV,CZ,4932.017N,01513.183E,406.0m,1,,,,"KOSTEL"
"ZELIVKA MOST",ZELIVK,CZ,4940.700N,01508.883E,447.0m,1,,,,"MOST"
"ZLATY CHLUM",ZLATCH,CZ,5014.317N,01714.400E,0.0m,1,,,,"ROZHLEDNA"
"ZLIN",ZLIN,CZ,4913.583N,01739.500E,0.0m,1,,,,"NADRAZI"
"ZLUTICE",ZLUTIC,CZ,5005.150N,01307.583E,0.0m,1,,,,"HRAZ"
"ZNOJMO",ZNOJMO,CZ,4851.150N,01603.550E,300.0m,1,,,,"NADRAZI"
"ZRUC NAD SAZAVOU",ZRUC,CZ,4944.283N,01506.250E,380.0m,1,,,,"NADRAZI"
"ZULOVA",ZULOVA,CZ,5018.433N,01706.117E,0.0m,1,,,,"NADRAZI"
"ZVIKOV",ZVIKOV,CZ,4926.317N,01411.533E,0.0m,1,,,,"HRAD"
"ZVIKOVEC",ZVKVEC,CZ,4957.583N,01341.867E,323.0m,1,,,,"MOST"
,
