name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"KARDASOVA RECICE",KARDRE,CZ,4911.033N,01451.650E,0.0m,1,,,,"NADRAZI"
"KARLSTEJN",KARLST,CZ,4956.400N,01411.283E,0.0m,1,,,,"HRAD"
"KASARNA",KASARN,CZ,4910.900N,01538.017E,533.0m,1,,,,"KRIZOVATKA"
"KASPERSKE HORY",KASHOR,CZ,4909.900N,01333.833E,1010.0m,1,,,,"ZAMEK"
"KDYNE",KDYNE,CZ,4923.317N,01302.383E,400.0m,1,,,,"KOSTEL"
"KELCSKY JAVORNIK",KELJAV,CZ,4924.000N,01745.933E,865.0m,7,,,,"VRCHOL"
"KEPRNIK",KEPRNI,CZ,5010.267N,01706.983E,1423.0m,7,,,,"VRCHOL"
"KLASTEREC N OHRI",KLASOH,CZ,5023.083N,01311.783E,300.0m,1,,,,"NADRAZI"
"KLECANY",KLECAN,CZ,5011.017N,01424.967E,0.0m,5,0,0.0m,,"PLOCHA"
"KLINOVEC",KLINOV,CZ,5023.750N,01258.050E,1244.0m,7,,,,"VRCHOL"
"KOBEROVICE",KOBERO,CZ,4935.200N,01515.717E,0.0m,1,,,,"KOSTEL"
"KOCLIROV",KOCLIR,CZ,4946.183N,01631.283E,600.0m,1,,,,"KRIZOVATKA"
"KOJAL",KOJAL,CZ,4922.217N,01648.950E,0.0m,1,,,,"VYSILAC"
"KOKORIN",KOKORI,CZ,5026.400N,01434.617E,0.0m,1,,,,"HRAD"
"KONICE",KONICE,CZ,4935.500N,01652.983E,328.0m,1,,,,"NADRAZI"
"KORYCANY",KORYCA,CZ,4906.983N,01711.650E,0.0m,1,,,,"HRAZ"
"KOSTELEC N HANE",KOSHAN,CZ,4930.950N,01703.667E,0.0m,1,,,,"KOSTEL"
"KOTVRDOVICE",KOTVRD,CZ,4921.867N,01647.233E,556.0m,2,10,600.0m,"123,475","SLZ PLOCHA"
"KOURIM",KOURIM,CZ,5000.183N,01458.617E,0.0m,1,,,,"OBEC"
"KOZAKOV",KOZAKO,CZ,5035.583N,01515.767E,774.0m,7,,,,"ROZHLEDNA"
"KRALICKY SNEZNIK",KRASNE,CZ,5012.300N,01651.350E,1424.0m,7,,,,"VRCHOL"
"KRALIKY",KRALIK,CZ,5004.850N,01645.400E,0.0m,1,,,,"NADRAZI"
"KRALOVICE",KRALOV,CZ,4959.333N,01329.350E,0.0m,1,,,,"NADRAZI"
"KRAMOLIN",KRAMOL,CZ,4854.917N,01443.667E,505.0m,2,9,455.0m,"122,4","SLZ PLOCHA"
"KRASNA LIPA",KRALIP,CZ,5055.100N,01430.750E,500.0m,1,,,,"NADRAZI"
"KREMESNIK",KREMES,CZ,4924.217N,01519.633E,765.0m,7,,,,"VRCHOL"
"KRINEC",KRINEC,CZ,5015.200N,01507.833E,197.0m,2,10,750.0m,"125,825","SLZ PLOCHA"
"KRIVOKLAT",KRIVOK,CZ,5002.283N,01352.367E,0.0m,1,,,,"HRAD"
"KRSY",KRSY,CZ,4955.533N,01303.300E,600.0m,1,,,,"KOSTEL"
"KRUZBERK",KRUZBE,CZ,4949.400N,01739.767E,450.0m,1,,,,"HRAZ"
"KUKS",KUKS,CZ,5023.867N,01553.333E,0.0m,1,,,,"ZAMEK"
"KUNETICE",KUNETI,CZ,5004.133N,01548.917E,219.0m,2,5,730.0m,"121,250","SLZ PLOCHA"
"KURIM",KURIM,CZ,4917.783N,01631.533E,0.0m,1,,,,"KOSTEL"
